,Language Name,Language Occurance
0,english,6707
1,afrikaans,8
2,spanish,413
3,korean,242
4,romani,4
5,italian,222
6,serbo-croatian,6
7,bulgarian,5
8,serbian,13
9,german,256
10,french,490
11,standard mandarin,106
12,standard cantonese,27
13,cantonese,66
14,japanese,204
15,czech,21
16,slovak,6
17,thai,15
18,polish,19
19,khmer,2
20,russian,175
21,dutch,10
22,american sign,16
23,romanian,16
24,portuguese,42
25,hebrew,44
26,hindi,32
27,zulu,5
28,latin,48
29,greek,14
30,silent film,19
31,chinese,19
32,american english,36
33,arabic,73
34,irish,8
35,turkish,25
36,kurdish,2
37,yiddish,19
38,swahili,11
39,somali,4
40,swedish,24
41,navajo,5
42,danish,14
43,algonquin,1
44,aramaic,5
45,esperanto,5
46,ukrainian,12
47,quechua,1
48,"maya, yucatÃ¡n",4
49,mandarin chinese,22
50,vietnamese,16
51,bengali,2
52,persian,18
53,croatian,5
54,scottish gaelic,2
55,welsh,3
56,hungarian,18
57,catalan,4
58,tamil,13
59,old english,3
60,icelandic,12
61,"apache, western",2
62,inuktitut,5
63,estonian,2
64,burmese,2
65,armenian,4
66,mongolian,3
67,gaelic,5
68,picard,1
69,malay,1
70,sioux,4
71,pawnee,1
72,corsican,1
73,finnish,12
74,pashto,3
75,friulian,1
76,aboriginal malay s,1
77,norwegian,10
78,mende,2
79,assyrian neo-aramaic,3
80,mÄori,4
81,ğ¾ğ²ğ‘‰ğ‘‹ğ‘Œğ²,2
82,slovenian,1
83,"egyptian, ancient",1
84,sanskrit,3
85,min nan,1
86,xhosa,5
87,ancient greek,1
88,"farsi, western",1
89,galician,1
90,tok pisin,1
91,hawaiian,3
92,urdu,12
93,tibetan s,6
94,sinhala,1
95,chechen,1
96,tagalog,3
97,filipino,5
98,sumerian,1
99,georgian,3
100,france,3
101,bosnian,2
102,swiss german,1
103,punjabi,5
104,sicilian,1
105,dari,3
106,cree,1
107,korean sign,1
108,kinyarwanda,1
109,luxembourgish,1
110,napoletano-calabrese,1
111,krio,1
112,"saami, north",1
113,sami s,1
114,wolof,2
115,shanghainese,3
116,nepali,1
117,albanian,2
118,australian english,1
119,scanian,1
120,klingon,4
121,sotho,2
122,indonesian,2
123,hmong,1
124,telugu,4
125,marathi,1
126,osetin,1
127,malayalam,1
128,chewa,1
129,mohawk,1
130,taiwanese,1
131,brazilian portuguese,1
132,assyrian,1
133,amharic,1
134,hopi,1
135,papiamento,1
136,tzotzil,1
137,nahuatl s,1
138,kuna,1
139,standard tibetan,1
